p5,p6,matrix_size_x,matrix_size_y,p2,p1,p8,p7,p3,p4,performance
19,29,3963,2917,40,115,27,80,12,11,0.0409184
5,12,1837,1644,108,177,16,39,30,2,0.0246375
27,12,2585,1358,248,121,12,42,16,3,0.0236798
6,10,2052,1850,15,147,96,9,18,15,0.0281334
14,0,1297,4870,37,223,2,60,9,16,0.018086
17,22,3678,1321,232,204,39,36,26,8,0.035063
6,8,1830,2940,59,191,55,99,8,17,0.0249681
8,9,4589,2455,22,229,35,48,24,27,0.0510005
9,31,2303,1876,0,204,41,84,16,3,0.0376403
9,26,2121,1871,215,51,94,43,1,21,0.0457545
26,6,1489,4494,1,58,84,92,17,19,0.0246141
4,12,2848,2211,59,160,27,24,1,2,0.0372561
7,22,3218,1429,3,256,37,98,12,9,0.0291621
4,5,3062,3698,195,150,24,66,32,5,0.0618214
14,32,2178,1633,131,223,77,6,31,3,0.0315068
25,12,3897,2817,241,205,67,37,12,29,0.0537371
15,18,1246,1606,230,177,74,70,23,1,0.0176033
26,1,1639,4127,0,63,54,71,6,18,0.0168892
21,11,1826,3989,192,44,95,81,12,13,0.0257584
17,18,2373,2729,179,61,28,48,25,24,0.0457293
6,14,1571,2648,8,30,86,81,7,12,0.0152159
13,25,1844,1903,148,73,19,73,27,6,0.0324414
10,11,1071,3354,198,19,2,50,23,2,0.0873163
20,28,3532,1941,134,220,7,68,15,18,0.0353848
24,24,4623,4022,21,60,20,30,7,2,0.0750712
29,23,1836,1444,133,70,58,60,28,17,0.0206733
23,17,2350,2838,101,44,1,7,31,9,0.102654
23,4,3426,2713,33,194,11,48,26,3,0.0441611
18,20,3364,4934,83,206,93,50,13,14,0.0527695
19,15,3141,3911,46,233,48,77,12,12,0.0469555
2,31,4833,4973,212,103,93,92,20,8,0.177175
14,12,4293,3090,197,247,38,2,15,29,0.0719662
28,7,4394,3176,122,27,19,84,8,21,0.0679515
27,15,1901,2579,42,213,37,91,28,15,0.0271065
11,14,2601,3363,177,161,46,95,19,11,0.0458394
25,9,1911,3677,112,61,19,83,28,26,0.0399655
25,16,3428,4011,30,134,61,83,14,5,0.0449456
5,8,1657,3961,166,145,37,62,6,2,0.0284284
3,9,3422,1049,208,11,97,56,13,16,0.0262142
1,32,3691,4249,216,43,56,47,8,14,0.134941
10,13,1700,2821,171,80,8,76,14,12,0.0220895
9,3,3213,3824,245,204,25,48,13,19,0.0557107
32,32,1794,3441,252,88,75,95,27,22,0.0298993
26,23,4917,4177,134,255,33,94,26,18,0.0787036
30,14,1813,1320,152,211,4,29,19,32,0.0217435
1,24,4640,4878,49,107,99,14,1,4,0.0945597
11,2,2188,4996,32,231,51,75,23,24,0.0356907
31,10,2844,4003,244,24,7,95,23,1,0.232787
14,11,2122,3245,158,154,19,79,8,31,0.0282063
14,11,2604,3440,202,209,75,38,8,10,0.0444354
14,13,1515,1150,63,82,18,53,31,23,0.0146189
8,13,1593,4615,26,48,28,38,32,17,0.0468639
5,11,2800,2903,141,55,15,28,30,29,0.0908344
25,9,1669,3654,32,124,26,31,22,14,0.0233493
23,24,3936,1257,88,242,70,33,16,9,0.0269698
6,31,4612,4379,124,41,74,71,25,11,0.0855425
9,7,2569,3314,241,72,59,57,13,24,0.0443241
15,3,1393,3588,208,253,7,96,3,19,0.0234819
8,23,1060,2825,245,212,67,93,7,9,0.0156412
4,15,3731,2194,151,158,2,25,25,0,0.0417412
14,27,3283,3371,7,133,74,96,24,1,0.0443361
29,12,2988,4566,211,24,84,95,21,8,0.0560621
18,15,3386,4271,57,227,87,28,20,22,0.0654752
7,25,4307,1917,98,80,11,36,30,20,0.0431238
28,14,3767,1130,253,253,26,95,7,2,0.0273559
8,1,4394,4576,238,29,29,31,19,22,0.314634
20,28,2224,4156,75,94,6,40,12,9,0.0275052
17,14,1416,3817,235,92,65,67,1,17,0.0208014
19,14,4939,2720,170,134,57,34,23,30,0.0531428
20,17,3439,3814,14,98,29,25,12,30,0.084386
21,31,1280,1628,151,60,26,80,29,2,0.0159556
22,30,3060,4599,150,89,40,82,9,16,0.0418305
12,21,1459,4834,52,174,45,93,26,9,0.0200712
25,27,3922,2210,178,119,12,22,31,7,0.0475977
2,21,4498,2213,70,18,3,83,16,9,0.102126
12,1,4108,3619,59,188,83,48,10,19,0.0595596
20,3,2171,2767,44,66,61,45,2,9,0.0238582
4,13,2410,4430,169,200,91,90,8,25,0.0476382
32,31,4713,3708,65,163,92,96,31,11,0.0653373
3,6,4478,2206,40,168,29,40,21,4,0.0503377
22,28,2044,3274,164,196,44,64,11,26,0.0301952
21,25,4455,3919,197,139,65,60,31,10,0.0714604
24,30,2619,2228,10,185,84,61,28,29,0.0355857
3,6,4098,4683,253,224,26,34,8,25,0.110482
5,26,3962,1889,241,121,76,40,8,12,0.0487191
16,29,3304,3036,106,41,50,39,3,17,0.0476835
9,11,3082,4582,97,234,5,66,2,13,0.0486855
22,32,3074,3123,206,113,47,8,19,30,0.0655521
16,26,3652,3390,112,21,38,84,9,4,0.0664698
31,6,2386,3565,206,43,48,78,25,14,0.0548213
15,27,3209,2840,7,24,1,65,27,16,0.22621
20,11,2519,3789,119,47,92,15,3,14,0.0343766
30,3,1512,2896,53,40,47,36,11,27,0.0162587
2,25,2185,4620,154,57,42,20,23,14,0.045838
28,16,3433,3970,222,67,95,68,8,27,0.0520848
19,5,1452,2045,208,191,20,73,5,11,0.0206124
28,9,3066,3346,1,206,7,98,19,10,0.0468826
26,19,1589,3496,18,222,12,43,31,29,0.0228081
22,24,2480,2579,8,233,92,91,31,23,0.0348424
19,26,3644,3423,42,59,27,81,7,8,0.0446366
8,13,3949,2246,27,71,84,49,16,2,0.0340821
31,22,3782,4461,12,87,20,94,16,19,0.0658992
18,18,1588,4590,70,225,67,38,13,13,0.0213818
11,19,1883,1442,102,188,42,28,6,8,0.022157
29,2,2325,1362,74,69,84,6,6,10,0.0182843
3,30,3289,1071,119,195,49,38,13,22,0.0294879
5,15,2031,3707,204,117,64,50,25,24,0.0347378
