p5,p6,matrix_size_x,matrix_size_y,p2,p1,p8,p7,p3,p4,performance
7,2,2348,4675,51,226,87,89,30,28,0.0404821
19,27,3095,2929,254,31,16,26,15,10,0.106749
23,24,1308,4210,89,132,55,71,31,20,0.0191143
8,16,2228,1342,88,22,98,92,27,30,0.017494
10,19,3313,3889,64,153,91,69,13,17,0.0530229
26,29,3489,1251,55,117,76,64,6,27,0.0218195
30,8,2153,2462,104,215,90,53,14,19,0.0420191
32,17,2153,4365,214,93,17,24,15,0,0.032764
20,5,2372,2765,37,26,3,8,30,9,0.165798
32,12,4799,2047,53,137,66,92,4,13,0.0340612
13,23,4459,2030,136,169,27,18,24,7,0.0401408
7,0,4942,4073,173,177,39,92,30,26,0.0858244
30,14,1570,4207,12,25,62,75,19,26,0.062431
30,20,1896,4939,114,131,86,16,17,7,0.0285569
29,17,4341,2622,221,238,59,41,11,26,0.0525141
9,4,4914,3132,234,163,29,66,1,5,0.0940255
4,21,3868,3471,187,250,32,86,15,21,0.0836016
24,16,1681,1413,26,210,17,50,11,6,0.0203638
16,19,3131,1949,202,101,14,27,3,23,0.0299074
20,30,4328,2630,111,80,38,56,4,7,0.0404894
25,19,2769,1927,56,170,62,79,6,25,0.0302012
2,1,2025,4334,49,122,86,39,26,16,0.03655
5,3,4502,2156,203,222,9,16,3,16,0.0524394
25,31,4178,3245,165,251,38,83,3,25,0.0567804
21,17,2996,3429,11,34,74,36,20,10,0.119324
10,5,1588,3677,240,12,64,11,31,9,0.0422791
28,27,1949,3834,159,80,83,1,26,8,0.0425685
4,26,3848,2179,237,9,81,53,10,11,0.0499982
10,21,1228,4324,195,197,57,62,27,27,0.020155
10,30,3280,1375,33,185,72,14,21,28,0.0262847
30,11,4947,2846,251,131,71,34,29,18,0.0569384
21,8,3627,3571,40,184,35,35,5,28,0.0497322
31,22,4930,4292,33,170,98,65,3,9,0.067087
25,27,1609,3451,26,152,42,3,25,24,0.0303048
28,26,4592,4174,89,35,49,61,10,19,0.0877516
29,0,4915,4267,136,37,79,41,30,0,0.0875247
28,8,4912,1083,2,118,30,22,23,4,0.12886
12,27,1990,4556,190,251,3,35,24,23,0.0354293
25,29,1599,3613,93,139,12,71,27,1,0.0243976
20,1,2477,2562,134,162,16,60,28,30,0.0379983
23,13,3481,3309,178,200,54,31,12,7,0.0520471
19,7,3924,1709,162,196,64,72,31,1,0.0377626
14,16,1213,2571,231,67,37,78,25,6,0.0183093
11,17,2533,4912,103,150,98,35,9,13,0.0370196
30,31,3878,2629,106,15,52,79,27,31,0.125261
8,6,4493,4470,53,38,46,26,25,26,0.257815
11,22,3741,1756,105,254,39,64,7,14,0.0367681
29,19,4602,3763,24,251,98,26,17,3,0.0725294
19,17,2888,4041,102,189,7,64,5,21,0.0370276
29,18,4251,4985,85,144,30,46,7,7,0.0621192
12,20,1500,4725,13,183,98,34,24,27,0.0208596
18,19,1444,4337,77,224,60,37,20,19,0.0222874
13,3,4925,3644,54,180,17,47,29,1,0.0664373
21,8,2066,3421,147,248,32,60,23,11,0.0348248
18,23,1034,3026,244,88,19,8,20,15,0.016574
14,19,4240,1987,35,121,66,22,17,31,0.0361433
1,2,2010,4453,91,66,43,61,3,1,0.0278781
21,22,4118,3858,2,221,29,17,13,30,0.080734
21,20,1699,4900,211,197,2,80,3,21,0.0236622
13,2,3435,3595,234,128,21,45,16,26,0.0557367
3,9,4924,2291,16,195,50,30,16,1,0.0534048
27,24,2430,1783,200,213,44,40,12,23,0.0376968
28,27,1104,3948,130,226,66,51,24,5,0.0145881
18,1,3774,2994,152,72,46,19,27,18,0.054294
28,14,3842,2505,52,184,9,71,17,2,0.0363865
16,25,3635,4684,43,236,88,36,8,27,0.0685762
2,11,3261,4396,157,158,1,2,28,3,0.059789
24,15,1994,3210,166,235,62,92,11,17,0.0300232
11,7,4862,2509,158,22,65,9,9,10,0.0469957
13,15,4275,2271,171,138,63,26,12,18,0.0450884
28,25,1298,2382,50,241,44,68,22,1,0.0181851
8,26,1334,3629,256,69,93,59,15,8,0.0192668
3,23,3408,1712,130,72,34,32,14,17,0.0328324
22,8,3222,2085,23,190,74,75,5,26,0.0325089
9,24,2611,3166,119,161,8,34,6,9,0.0384614
21,15,1011,1679,143,179,16,6,3,17,0.0121611
27,19,3842,3264,189,130,11,21,5,16,0.055797
7,5,2789,4860,17,129,97,76,29,0,0.0573808
10,7,3778,3155,249,51,44,64,7,7,0.0519171
20,28,2569,1144,1,244,28,2,31,10,0.0203015
18,10,3769,2368,192,21,6,63,13,26,0.11484
28,27,1581,2714,144,181,5,21,16,19,0.0223607
22,1,3667,3234,150,196,81,24,8,17,0.0558496
11,10,4123,4339,88,170,10,4,5,20,0.07182
27,28,4402,4667,179,80,49,20,19,1,0.096261
7,31,3650,3958,191,73,69,86,31,29,0.0661204
12,25,2185,1788,51,215,36,56,12,15,0.0361583
20,19,3309,4917,80,108,85,90,1,2,0.0549487
3,14,4205,4628,178,239,41,66,25,13,0.118581
22,13,4784,4384,219,183,70,92,22,10,0.0842384
30,14,1931,4111,186,134,88,61,17,30,0.0283355
10,30,4373,1747,24,170,37,76,1,13,0.0468841
3,28,1948,2736,254,109,41,26,30,24,0.0368143
32,16,4410,4845,147,90,2,75,21,13,0.107035
4,10,1363,1595,5,203,13,59,13,16,0.0164971
17,13,1488,1163,208,249,84,1,9,0,0.0179946
11,26,3214,3986,180,131,43,61,25,16,0.0564176
8,26,1661,2457,93,245,86,50,3,26,0.0445553
13,12,3785,4684,140,245,99,96,17,5,0.0726052
6,6,4182,2142,22,13,75,94,16,7,0.0599594
